PMID,Title,Journal,Publication Year,DOI,Paper Type,Abstract,Citations,Preprint PMID,Preprint DOI,is_preprint,preprint_of,preprint_in
42440036,"Bioimage analysis in deep visual proteomics: Advancing transparency, reproducibility, and FAIR principles",Journal of microscopy,2026,10.1111/jmi.70145,Disease Application,"Deep Visual Proteomics (DVP) combines high-resolution microscopy, computational instance segmentation, laser capture microdissection (LMD), and ultrasensitive mass spectrometry to enable spatially resolved molecular analysis of defined cellular populations. Within this workflow, LMD plays a central role by physically isolating microscopy-defined regions of interest for downstream proteomic profiling. However, accurate image-to-stage transfer remains challenging due to limitations in imaging resolution, tissue preparation variability, laser cutting parameters, and partially manual alignment procedures. Here, we present an open-source semi-automated image-to-LMD interoperability framework for DVP that integrates fiducial marker detection, coordinate transformation, and segmentation-driven contour export for reproducible microdissection. Using neutrophil isolation from murine urinary bladder tissue as a representative use case, we demonstrate robust alignment of computationally defined cellular boundaries with LMD-guided excision. By improving interoperability, transparency, and workflow standardisation, this framework strengthens the integration of microscopy and spatial proteomics and supports reproducible analysis of spatially defined immune cell populations.",0,,,False,,
42381461,Spatially Resolved Proteomic Cartography Illuminates the Earliest Molecular Programs in Pancreatic Cancer Evolution,Cancer discovery,2026,10.1158/2159-8290.cd-26-1022,Disease Application,"Min, Schweizer, and colleagues use artificial intelligence-powered deep visual proteomics to generate a spatial proteomic atlas of pancreatic cancer precursor evolution, revealing that major metabolic and inflammatory reprogramming occurs long before overt histologic transformation. More broadly, the study highlights the emerging potential of spatial proteomics and multiomics to bridge histopathology with molecular pathology and precision oncology. See related article by Min et al., p. 1323.",0,,,False,,
42427344,A guide to laser microdissection-based proteomics,The FEBS journal,2026,10.1111/febs.70653,Review,"Laser microdissection-based proteomics enables spatially resolved profiling of the proteome within intact tissue. Recent advances in histology, image analysis, laser microdissection and mass spectrometry have markedly increased the capability of this technology and driven the development of a range of powerful workflows. These now extend from regional tissue proteomics to emerging single-cell applications, with subcellular proteome mapping on the horizon. In this review, we examine the current state of laser microdissection (LMD)-based proteomics, outline what these approaches can offer, describe the standard workflow, and discuss which applications and instrumentation are best suited to address specific biological questions. We also highlight the strengths and limitations of current workflows and direct readers to key publications that describe and exemplify their successful implementation.",0,,,False,,
40934911,Deep visual proteomics reveals an in vivo-like phenotype of orthotopically transplanted human colon organoids,Cell systems,2025,10.1016/j.cels.2025.101396,Disease Application,"Intestinal epithelial damage predisposes to disorders like inflammatory bowel disease (IBD), with organoid transplantation emerging as a potential treatment. However, it is not known how well organoids recapitulate in vivo intestinal epithelial cells (IECs). We employed deep visual proteomics (DVP), integrating AI-guided cell classification, laser microdissection, and ultra-high-sensitivity proteomics at the single-cell level to generate an in-depth proteome resource of IECs directly isolated from the human colon and organoids. While in vitro organoids display high proliferation and low functional signatures, xenotransplantation induces a remarkable shift toward an in vivo-like phenotype. We recapitulated this transition by modifying culture conditions. Our data provide a comprehensive spatial proteomics resource and validate xenotransplanted organoids as suitable models for studying human IEC behavior with unprecedented molecular detail and demonstrate their clinical potential for patients with IBD and other intestinal disorders. A record of this paper's transparent peer review process is included in the supplemental information.",7,PPR852450,10.1101/2024.05.13.593888,False,,PPR852450
40675342,Novel Insights Into the Progression of α1-Antitrypsin Deficiency-Associated Liver Disease Using Artificial Intelligence-Driven Deep Visual Proteomics,Gastroenterology,2025,10.1053/j.gastro.2025.07.008,Disease Application,,0,,,False,,
41629712,Immunofluorescence Imaging-Guided Laser Microdissection for Ultralow Input Spatial Tissue Proteomics,"Methods in molecular biology (Clifton, N.J.)",2026,10.1007/978-1-0716-5154-4_7,Disease Application,"Laser microdissection (LMD) enables the precise isolation of specific cells or regions of interest from tissue sections, guiding downstream molecular analyses with high spatial resolution. In this protocol, we describe an optimized protocol combining whole-slide immunofluorescence imaging, LMD, and low-input liquid chromatography (LC) mass spectrometry (MS)-based proteomics of FFPE tissue sections.",0,,,False,,
40360936,Deep Visual Proteomics elucidates α1-antitrypsin deficiency,Nature reviews. Gastroenterology & hepatology,2025,10.1038/s41575-025-01079-3,Review,,0,,,False,,
41629719,Artificial Intelligence-Driven Laser Capture Microdissection,"Methods in molecular biology (Clifton, N.J.)",2026,10.1007/978-1-0716-5154-4_14,Disease Application,"Laser capture microdissection enables precise isolation of regions of interest (ROIs) from tissue sections, allowing researchers to investigate tissue heterogeneity with spatial resolution. This technique has been integrated with various omics approaches, including transcriptomics and proteomics, to enhance sensitivity and expand coverage beyond traditional bulk analysis methods. Among these, mass spectrometry (MS)-based proteomics has emerged as a particularly powerful tool by enabling the reliable identification of even low-abundance proteins and facilitating the discovery of novel disease biomarkers.Recently, both laser capture microdissection and MS-based proteomics have been significantly shaped by the rapid advancement and widespread adoption of artificial intelligence (AI). In fact, deep learning, a subfield of AI, has been used to improve bioimage analysis for ROI selection in laser capture microdissection workflows. Concurrently, AI-based methods are increasingly being used to manage and interpret high-dimensional data generated by MS-based proteomics, further enhancing analytical depth and reproducibility.Despite this progress, current workflows often lack scalability and flexibility, limiting their broader application in clinical and translational settings. To address these challenges, we have developed an AI-driven laser capture microdissection protocol optimized for hematoxylin and eosin (H&E)-stained slides derived from formalin-fixed paraffin-embedded (FFPE) patient samples. The widespread availability of FFPE tissues and the simplicity of H&E staining make this approach both accessible and adaptable for investigating diverse disease contexts, with the potential to advance spatial proteomics at scale.",0,,,False,,
42013410,AI-Powered Deep Visual Proteomics Reveals Critical Molecular Transitions in Pancreatic Cancer Precursors,Cancer discovery,2026,10.1158/2159-8290.cd-25-1119,Disease Application,"Pancreatic ductal adenocarcinoma (PDAC) evolves through precursors, yet the protein programs governing early progression remain poorly defined. We applied Deep Visual Proteomics (DVP)-integrating computational pathology, laser microdissection, and mass spectrometry (MS)-to profile normal ducts, acinar-to-ductal metaplasia (ADM), low-grade (LG) and high-grade (HG) pancreatic intraepithelial neoplasia (PanIN), and invasive carcinoma from organ donors and patients with PDAC. Quantifying 9,181 proteins from ∼100 cells per region, we uncovered a molecular field effect in histologically normal ducts and proteomic divergence of LG-PanINs by cancer context. We identified four stage-associated molecular programs. Stress adaptation and immune engagement emerged early in cancer-associated normal ducts. Metabolic reprogramming initiated in normal ducts and intensified across PanIN progression. Mitochondrial remodeling became prominent in HG-PanINs before invasion. MS detected KRAS hotspot mutant peptides within incidental precursor lesions from cancer-free individuals. These findings demonstrate that molecular reprogramming precedes histologic transformation, creating opportunities for earlier detection of lethal cancer.<h4>Significance</h4>Artificial intelligence (AI)-guided DVP represents the first in-depth assessment of the proteomic landscapes observed during the multistep progression of pancreatic adenocarcinoma, including histologically normal ducts, ADM, and LG- and HG-PanIN lesions. These data represent a unique resource of candidate biomarkers and interception targets against this lethal disease. See related commentary by Yang and Fan, p. 1255.",0,PPR1047858,10.1101/2025.07.07.663528,False,,PPR1047858
40680990,"A perspective on integrating digital pathology, proteomics, clinical data and AI analytics in cancer research",Journal of proteomics,2025,10.1016/j.jprot.2025.105493,Review,"Nearly 40 % of individuals will be diagnosed with cancer in their lifetime, translating to an estimated 20 million new cases annually. Despite remarkable therapeutic advances, only 15-20 % of patients achieve durable responses to immunotherapy, and the high cost of treatment (illustrated by immune checkpoint inhibitors like pembrolizumab and nivolumab, totaling roughly $191,000 per year) remains a formidable global challenge. The convergence of digital pathology, high-throughput molecular profiling, and advanced computational strategies has the potential to transform cancer research. By integrating high-resolution morphological data with proteomic, transcriptomic, and spatial molecular insights, we can elucidate the complex interplay between tumor cells and their microenvironment. In this perspective, we review how emerging techniques, from AI-driven image analysis to deep visual proteomics, can accelerate biomarker discovery, refine patient stratification, and ultimately improve clinical outcomes. We illustrate these principles with a case study in melanoma, where the integration of digital pathology and deep proteomic profiling uncovered a molecular signature predictive of recurrence in early-stage disease. As these technologies evolve, we foresee a future of precision oncology characterized by the seamless integration of morphological, clinical, and molecular data enabled by AI-driven analytics. SIGNIFICANCE: This perspective represents a pivotal step toward transforming cancer research by bridging the gap between traditional histopathological evaluation and modern molecular analytics. By integrating digital pathology with spatial proteomics and advanced AI-driven analytics, our approach provides a multidimensional view of tumor biology that captures both morphological nuances and molecular heterogeneity. This comprehensive framework not only enhances our understanding of the tumor microenvironment but also facilitates the discovery of robust biomarkers for disease recurrence and therapeutic response. Ultimately, our findings underscore the potential of precision oncology to tailor treatment strategies to individual patient profiles, thereby improving clinical outcomes and guiding the next generation of personalized cancer care.",0,,,False,,
41965357,Deep visual proteomics uncovers nociceptor diversity and pain targets,Nature communications,2026,10.1038/s41467-026-71418-8,Disease Application,"The richness of our somatosensory experience is reflected in the functional diversity of somatic sensory neurons. Single-cell RNA sequencing of sensory neurons has revealed a molecular basis for such diversity<sup>1-3</sup>. However, sensory neuron diversity has yet to be captured at the level of the proteome. Here, we combined electrophysiology with deep visual proteomics <sup>4</sup> to quantify over 6000 proteins from phenotypically-defined sensory neurons in mice and identified proteomic markers of sensory neuron subtypes. Comparative analysis revealed both concordance and meaningful divergence between transcriptomes and proteomes. We further show that up to 3000 proteins can be quantified from one-fourth of a single neuron, demonstrating subset-specific protein signatures. In culture, nociceptive neurons can be acutely sensitized to mechanical stimuli by nerve growth factor (NGF) which normally drives inflammatory pain in vivo<sup>5</sup>. Indeed, overnight exposure of peptidergic nociceptors to NGF and a protein kinase C (PKC) activator produced functional sensitization associated with proteome changes. Functional knockdown experiments identified the up-regulated B3GNT2 enzyme as a potential effector of nociceptor sensitization. In summary, we present a high-resolution proteomic resource linking molecular identity to function, enabling the discovery of mechanisms underlying somatic sensation and pain sensitization.",2,PPR1088685,10.1101/2025.09.20.677124,False,,
41655216,Integrating Spatial Proteogenomics in Cancer Research,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026,10.1002/advs.202520744,Review,"<h4>Background</h4>Spatial proteogenomics marks a paradigm shift in oncology by integrating molecular analysis with spatial information from both spatial proteomics and other data modalities (e.g., spatial transcriptomics), thereby unveiling tumor heterogeneity and dynamic changes in the microenvironment.<h4>Methods</h4>We systematically reviewed the evolution of spatial proteogenomics, from single-modality profiling to integration with transcriptomics and metabolomics, from the detection of abundant proteins to exploration of ""dark proteome"" with low abundance or stability, and from analytic software based on traditional machine learning algorithms to advanced artificial intelligence-driven analytical frameworks.<h4>Results</h4>Key advances of sub-fields of spatial proteogenomics include: RNA-protein co-localization: Spatial CITE-seq, enabling RNA-protein co-localization to reveal immune microenvironmental patterns and neoantigen distribution. Spatial Proteomics + Spatial Metabolomics: Matrix-assisted laser desorption/ionization imaging (MALDI), overcoming protein detection bottlenecks and capturing metabolic reprogramming. Deep visual proteomics (DVP): achieving unbiased spatial analysis via AI-guided microdissection. Spatial-aware multiplex dark proteome approaches: Examples are nanodroplet processing in one pot for trace samples (NanoPOTS) and proteoform imaging mass spectrometry (PiMS). Multimodal foundation AI models: Examples are KRONOS and HEIST, which integrate multiple data modalities and significantly improve diagnostic precision and therapeutic prediction.<h4>Conclusions and future directions</h4>Despite challenges of resolution, standardization, and data complexity, spatial proteomics is advancing rapidly. Together with frontier technologies such as quantum computing, live imaging, and organoid integration, it is driving breakthroughs in cancer diagnosis, personalized immunotherapy, and drug development.",0,,,False,,
