Source,Target,Type
Kratz E,PPR1281006,Author-Paper
Sinha A,PPR1281006,Author-Paper
Adeshara T,PPR1281006,Author-Paper
Paloschi V,PPR1281006,Author-Paper
Sachs N,PPR1281006,Author-Paper
Pauli J,PPR1281006,Author-Paper
Glukha N,PPR1281006,Author-Paper
Huber A,PPR1281006,Author-Paper
Schanda S,PPR1281006,Author-Paper
Metousis A,PPR1281006,Author-Paper
Heymann T,PPR1281006,Author-Paper
Branzan D,PPR1281006,Author-Paper
Bleckwehl T,PPR1281006,Author-Paper
Hayat S,PPR1281006,Author-Paper
Maegdefessel L,PPR1281006,Author-Paper
Mann M,PPR1281006,Author-Paper
Siemes D,42440036,Author-Paper
Novak A,42440036,Author-Paper
Thiebes S,42440036,Author-Paper
Widera L,42440036,Author-Paper
Tautges S,42440036,Author-Paper
Voss H,42440036,Author-Paper
Borgards L,42440036,Author-Paper
Habermann D,42440036,Author-Paper
Chen J,42440036,Author-Paper
Shevchuk O,42440036,Author-Paper
Engel DR,42440036,Author-Paper
Zwiebel M,PPR1277341,Author-Paper
Wahle M,PPR1277341,Author-Paper
Stadler R,PPR1277341,Author-Paper
Levesque MP,PPR1277341,Author-Paper
Dummer R,PPR1277341,Author-Paper
Nordmann TM,PPR1277341,Author-Paper
Mann M,PPR1277341,Author-Paper
Yang M,42381461,Author-Paper
Fan R,42381461,Author-Paper
Shen C,42427344,Author-Paper
Schoffer K,42427344,Author-Paper
Williams C,42427344,Author-Paper
Tanzer MC,42427344,Author-Paper
Weiss CAM,PPR1242524,Author-Paper
Sjöstedt E,PPR1242524,Author-Paper
Debnath A,PPR1242524,Author-Paper
Ben-Moshe S,PPR1242524,Author-Paper
Diedrich L,PPR1242524,Author-Paper
Zwahlen M,PPR1242524,Author-Paper
Oeller M,PPR1242524,Author-Paper
Wahle M,PPR1242524,Author-Paper
Skarwan E,PPR1242524,Author-Paper
Heymann T,PPR1242524,Author-Paper
Oliinyk D,PPR1242524,Author-Paper
Kratz E,PPR1242524,Author-Paper
Metousis A,PPR1242524,Author-Paper
Braun C,PPR1242524,Author-Paper
Schunkert H,PPR1242524,Author-Paper
Johansson F,PPR1242524,Author-Paper
Lundberg E,PPR1242524,Author-Paper
von Feilitzen K,PPR1242524,Author-Paper
Lindskog C,PPR1242524,Author-Paper
Rosenberger FA,PPR1242524,Author-Paper
von Scheidt M,PPR1242524,Author-Paper
Uhlén M,PPR1242524,Author-Paper
Mann M,PPR1242524,Author-Paper
Post F,40934911,Author-Paper
Hausmann A,40934911,Author-Paper
Kabatnik S,40934911,Author-Paper
Steigerwald S,40934911,Author-Paper
Brand A,40934911,Author-Paper
Clement DL,40934911,Author-Paper
Skov J,40934911,Author-Paper
Lõhmussaar K,40934911,Author-Paper
Larsen HL,40934911,Author-Paper
Maimets M,40934911,Author-Paper
Boye TL,40934911,Author-Paper
Jez G,40934911,Author-Paper
Sato T,40934911,Author-Paper
Steenholdt C,40934911,Author-Paper
Rosenberger F,40934911,Author-Paper
Mund A,40934911,Author-Paper
Nielsen OH,40934911,Author-Paper
Jensen KB,40934911,Author-Paper
Mann M,40934911,Author-Paper
Manickavel P,40675342,Author-Paper
Bhat M,40675342,Author-Paper
Fritzsche S,41629712,Author-Paper
Coscia F,41629712,Author-Paper
Hindson J,40360936,Author-Paper
Mardamshina M,PPR1010749,Author-Paper
Dorka N,PPR1010749,Author-Paper
Thielert M,PPR1010749,Author-Paper
Björklund F,PPR1010749,Author-Paper
Navarro FB,PPR1010749,Author-Paper
Casals AM,PPR1010749,Author-Paper
Kovacs F,PPR1010749,Author-Paper
Manning Fox JE,PPR1010749,Author-Paper
Horvath P,PPR1010749,Author-Paper
MacDonald PE,PPR1010749,Author-Paper
Mann M,PPR1010749,Author-Paper
Lundberg E,PPR1010749,Author-Paper
Gasparello T,41629719,Author-Paper
Pearson M,41629719,Author-Paper
von Kriegsheim A,41629719,Author-Paper
Min J,42013410,Author-Paper
Schweizer L,42013410,Author-Paper
Zonderland G,42013410,Author-Paper
Selvanesan BC,42013410,Author-Paper
Thomsen JH,42013410,Author-Paper
Oldenburg L,42013410,Author-Paper
Bae SW,42013410,Author-Paper
Kim B,42013410,Author-Paper
Hernández SD,42013410,Author-Paper
Jez G,42013410,Author-Paper
Bernard V,42013410,Author-Paper
Swanson BJ,42013410,Author-Paper
Klute KA,42013410,Author-Paper
