Id,Label,Type,Publications,Country,Institution,Year,Citations
Abe R,Abe R,Author,1,Japan,Niigata University Graduate School of Medical and Dental Sciences,,
Adeshara T,Adeshara T,Author,1,Germany,Max Planck Institute of Biochemistry,,
Ammar C,Ammar C,Author,2,Germany,Max Planck Institute of Biochemistry,,
Amrute JM,Amrute JM,Author,1,United States,Washington University School of Medicine,,
Anderton H,Anderton H,Author,1,Australia,Walter and Eliza Hall Institute of Medical Research,,
Anzengruber F,Anzengruber F,Author,1,Switzerland,University of Zurich,,
Axelsson U,Axelsson U,Author,1,Denmark,Eötvös Loránd Research Network,,
Bae SW,Bae SW,Author,1,Denmark,New York University Grossman School of Medicine,,
Bardziukova A,Bardziukova A,Author,1,Germany,Max Planck Institute of Biochemistry,,
Bartels AS,Bartels AS,Author,1,Denmark,University of Copenhagen,,
Beleon A,Beleon A,Author,1,Denmark,Eötvös Loránd Research Network,,
Ben-Moshe S,Ben-Moshe S,Author,2,Germany,Max Planck Institute of Biochemistry,,
Bernard V,Bernard V,Author,1,Denmark,The University of Texas MD Anderson Cancer Center,,
Bestak K,Bestak K,Author,1,Germany,University Hospital Heidelberg and Heidelberg University,,
Bhat M,Bhat M,Author,1,Canada,University Health Network,,
Bilecz AJ,Bilecz AJ,Author,1,United States,The University of Chicago,,
Björklund F,Björklund F,Author,1,Germany,Max Planck Institute of Biochemistry,,
Bleckwehl T,Bleckwehl T,Author,1,Germany,Max Planck Institute of Biochemistry,,
Bludau I,Bludau I,Author,1,Germany,Max Planck Institute of Biochemistry,,
Boor P,Boor P,Author,1,Germany,Aachen University,,
Boottanun P,Boottanun P,Author,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST),,
Borgards L,Borgards L,Author,1,Germany,University Hospital Essen,,
Borgwardt K,Borgwardt K,Author,1,Germany,Max Planck Institute of Biochemistry,,
Boye TL,Boye TL,Author,1,Denmark,University of Copenhagen,,
Brand A,Brand A,Author,1,Denmark,University of Copenhagen,,
Branzan D,Branzan D,Author,1,Germany,Max Planck Institute of Biochemistry,,
Braun C,Braun C,Author,1,Germany,Max Planck Institute of Biochemistry,,
Brown LA,Brown LA,Author,1,United States,National Cancer Institute,,
Brunner AD,Brunner AD,Author,2,Germany,Max Planck Institute of Biochemistry,,
Bulkescher J,Bulkescher J,Author,1,Denmark,University of Copenhagen,,
Bzorek M,Bzorek M,Author,3,Denmark,Zealand University Hospital,,
Bérouti M,Bérouti M,Author,1,Germany,Gene Center and Department of Biochemistry,,
Caffrey TC,Caffrey TC,Author,1,Denmark,University of Nebraska Medical Center,,
Casals AM,Casals AM,Author,1,Germany,Max Planck Institute of Biochemistry,,
Chakrabarti S,Chakrabarti S,Author,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),,
