Source,Target,Weight
Coscia F,Mund A,1
Kriston A,Mund A,2
Hollandi R,Mund A,2
Kovács F,Mund A,1
Brunner AD,Mund A,1
Migh E,Mund A,2
Mund A,Schweizer L,6
Mund A,Santos A,1
Bzorek M,Mund A,3
Mund A,Naimy S,1
Mund A,Rahbek-Gjerdrum LM,2
Dyring-Andersen B,Mund A,1
Bulkescher J,Mund A,1
Lukas C,Mund A,1
Eckert MA,Mund A,1
Lengyel E,Mund A,2
Gnann C,Mund A,1
Lundberg E,Mund A,2
Horvath P,Mund A,2
Mann M,Mund A,11
Coscia F,Kriston A,1
Coscia F,Hollandi R,1
Coscia F,Kovács F,1
Brunner AD,Coscia F,1
Coscia F,Migh E,1
Coscia F,Schweizer L,1
Coscia F,Santos A,1
Bzorek M,Coscia F,1
Coscia F,Naimy S,1
Coscia F,Rahbek-Gjerdrum LM,1
Coscia F,Dyring-Andersen B,1
Bulkescher J,Coscia F,1
Coscia F,Lukas C,1
Coscia F,Eckert MA,1
Coscia F,Lengyel E,1
Coscia F,Gnann C,1
Coscia F,Lundberg E,1
Coscia F,Horvath P,2
Coscia F,Mann M,1
Hollandi R,Kriston A,2
Kovács F,Kriston A,1
Brunner AD,Kriston A,1
Kriston A,Migh E,2
Kriston A,Schweizer L,1
Kriston A,Santos A,1
Bzorek M,Kriston A,1
Kriston A,Naimy S,1
Kriston A,Rahbek-Gjerdrum LM,1
Dyring-Andersen B,Kriston A,1
Bulkescher J,Kriston A,1
Kriston A,Lukas C,1
Eckert MA,Kriston A,1
Kriston A,Lengyel E,1
Gnann C,Kriston A,1
Kriston A,Lundberg E,2
Horvath P,Kriston A,2
Kriston A,Mann M,2
Hollandi R,Kovács F,1
Brunner AD,Hollandi R,1
Hollandi R,Migh E,2
Hollandi R,Schweizer L,1
Hollandi R,Santos A,1
Bzorek M,Hollandi R,1
Hollandi R,Naimy S,1
Hollandi R,Rahbek-Gjerdrum LM,1
Dyring-Andersen B,Hollandi R,1
Bulkescher J,Hollandi R,1
Hollandi R,Lukas C,1
Eckert MA,Hollandi R,1
Hollandi R,Lengyel E,1
Gnann C,Hollandi R,1
Hollandi R,Lundberg E,2
Hollandi R,Horvath P,2
Hollandi R,Mann M,2
Brunner AD,Kovács F,1
Kovács F,Migh E,1
Kovács F,Schweizer L,1
Kovács F,Santos A,1
Bzorek M,Kovács F,1
Kovács F,Naimy S,1
Kovács F,Rahbek-Gjerdrum LM,1
Dyring-Andersen B,Kovács F,1
Bulkescher J,Kovács F,1
Kovács F,Lukas C,1
Eckert MA,Kovács F,1
Kovács F,Lengyel E,1
Gnann C,Kovács F,1
Kovács F,Lundberg E,1
Horvath P,Kovács F,1
Kovács F,Mann M,1
Brunner AD,Migh E,1
Brunner AD,Schweizer L,2
Brunner AD,Santos A,1
Brunner AD,Bzorek M,1
Brunner AD,Naimy S,1
Brunner AD,Rahbek-Gjerdrum LM,1
Brunner AD,Dyring-Andersen B,1
Brunner AD,Bulkescher J,1
Brunner AD,Lukas C,1
Brunner AD,Eckert MA,1
Brunner AD,Lengyel E,1
Brunner AD,Gnann C,1
Brunner AD,Lundberg E,1
Brunner AD,Horvath P,1
Brunner AD,Mann M,2
Migh E,Schweizer L,1
Migh E,Santos A,1
Bzorek M,Migh E,1
Migh E,Naimy S,1
Migh E,Rahbek-Gjerdrum LM,1
Dyring-Andersen B,Migh E,1
Bulkescher J,Migh E,1
Lukas C,Migh E,1
Eckert MA,Migh E,1
Lengyel E,Migh E,1
Gnann C,Migh E,1
Lundberg E,Migh E,2
Horvath P,Migh E,2
Mann M,Migh E,2
Santos A,Schweizer L,1
Bzorek M,Schweizer L,2
Naimy S,Schweizer L,1
Rahbek-Gjerdrum LM,Schweizer L,2
Dyring-Andersen B,Schweizer L,1
Bulkescher J,Schweizer L,1
Lukas C,Schweizer L,1
Eckert MA,Schweizer L,1
Lengyel E,Schweizer L,3
Gnann C,Schweizer L,1
Lundberg E,Schweizer L,1
Horvath P,Schweizer L,1
Mann M,Schweizer L,7
Bzorek M,Santos A,1
Naimy S,Santos A,1
Rahbek-Gjerdrum LM,Santos A,1
Dyring-Andersen B,Santos A,1
Bulkescher J,Santos A,1
Lukas C,Santos A,1
Eckert MA,Santos A,1
Lengyel E,Santos A,1
Gnann C,Santos A,1
Lundberg E,Santos A,1
Horvath P,Santos A,1
Mann M,Santos A,1
Bzorek M,Naimy S,1
Bzorek M,Rahbek-Gjerdrum LM,2
Bzorek M,Dyring-Andersen B,1
Bulkescher J,Bzorek M,1
Bzorek M,Lukas C,1
Bzorek M,Eckert MA,1
Bzorek M,Lengyel E,1
Bzorek M,Gnann C,1
Bzorek M,Lundberg E,1
Bzorek M,Horvath P,1
Bzorek M,Mann M,3
Naimy S,Rahbek-Gjerdrum LM,1
Dyring-Andersen B,Naimy S,1
Bulkescher J,Naimy S,1
Lukas C,Naimy S,1
Eckert MA,Naimy S,1
Lengyel E,Naimy S,1
Gnann C,Naimy S,1
Lundberg E,Naimy S,1
Horvath P,Naimy S,1
Mann M,Naimy S,1
Dyring-Andersen B,Rahbek-Gjerdrum LM,1
Bulkescher J,Rahbek-Gjerdrum LM,1
Lukas C,Rahbek-Gjerdrum LM,1
Eckert MA,Rahbek-Gjerdrum LM,1
Lengyel E,Rahbek-Gjerdrum LM,1
Gnann C,Rahbek-Gjerdrum LM,1
Lundberg E,Rahbek-Gjerdrum LM,1
Horvath P,Rahbek-Gjerdrum LM,1
Mann M,Rahbek-Gjerdrum LM,2
Bulkescher J,Dyring-Andersen B,1
Dyring-Andersen B,Lukas C,1
Dyring-Andersen B,Eckert MA,1
Dyring-Andersen B,Lengyel E,1
Dyring-Andersen B,Gnann C,1
Dyring-Andersen B,Lundberg E,1
Dyring-Andersen B,Horvath P,1
Dyring-Andersen B,Mann M,1
Bulkescher J,Lukas C,1
Bulkescher J,Eckert MA,1
Bulkescher J,Lengyel E,1
Bulkescher J,Gnann C,1
Bulkescher J,Lundberg E,1
Bulkescher J,Horvath P,1
Bulkescher J,Mann M,1
Eckert MA,Lukas C,1
Lengyel E,Lukas C,1
Gnann C,Lukas C,1
Lukas C,Lundberg E,1
Horvath P,Lukas C,1
Lukas C,Mann M,1
Eckert MA,Lengyel E,1
Eckert MA,Gnann C,1
Eckert MA,Lundberg E,1
Eckert MA,Horvath P,1
Eckert MA,Mann M,1
Gnann C,Lengyel E,1
Lengyel E,Lundberg E,1
Horvath P,Lengyel E,1
Lengyel E,Mann M,3
Gnann C,Lundberg E,1
Gnann C,Horvath P,1
Gnann C,Mann M,1
Horvath P,Lundberg E,3
Lundberg E,Mann M,4
Horvath P,Mann M,3
Itang EC,Thielert M,1
Ammar C,Thielert M,2
Rosenberger FA,Thielert M,6
Bludau I,Thielert M,1
Schweizer L,Thielert M,5
Nordmann TM,Thielert M,5
Skowronek P,Thielert M,2
Thielert M,Wahle M,2
Thielert M,Zeng WF,1
Thielert M,Zhou XX,1
Brunner AD,Thielert M,1
Richter S,Thielert M,2
Levesque MP,Thielert M,2
Theis FJ,Thielert M,2
Steger M,Thielert M,1
Mann M,Thielert M,7
Ammar C,Itang EC,1
Itang EC,Rosenberger FA,1
