Id,Label,Publications,Country,Institution
Abe R,Abe R,1,Japan,Niigata University Graduate School of Medical and Dental Sciences
Adeshara T,Adeshara T,1,Germany,Max Planck Institute of Biochemistry
Ammar C,Ammar C,2,Germany,Max Planck Institute of Biochemistry
Amrute JM,Amrute JM,1,United States,Washington University School of Medicine
Anderton H,Anderton H,1,Australia,Walter and Eliza Hall Institute of Medical Research
Anzengruber F,Anzengruber F,1,Switzerland,University of Zurich
Axelsson U,Axelsson U,1,Denmark,Eötvös Loránd Research Network
Bae SW,Bae SW,1,Denmark,New York University Grossman School of Medicine
Bardziukova A,Bardziukova A,1,Germany,Max Planck Institute of Biochemistry
Bartels AS,Bartels AS,1,Denmark,University of Copenhagen
Beleon A,Beleon A,1,Denmark,Eötvös Loránd Research Network
Ben-Moshe S,Ben-Moshe S,2,Germany,Max Planck Institute of Biochemistry
Bernard V,Bernard V,1,Denmark,The University of Texas MD Anderson Cancer Center
Bestak K,Bestak K,1,Germany,University Hospital Heidelberg and Heidelberg University
Bhat M,Bhat M,1,Canada,University Health Network
Bilecz AJ,Bilecz AJ,1,United States,The University of Chicago
Björklund F,Björklund F,1,Germany,Max Planck Institute of Biochemistry
Bleckwehl T,Bleckwehl T,1,Germany,Max Planck Institute of Biochemistry
Bludau I,Bludau I,1,Germany,Max Planck Institute of Biochemistry
Boor P,Boor P,1,Germany,Aachen University
Boottanun P,Boottanun P,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST)
Borgards L,Borgards L,1,Germany,University Hospital Essen
Borgwardt K,Borgwardt K,1,Germany,Max Planck Institute of Biochemistry
Boye TL,Boye TL,1,Denmark,University of Copenhagen
Brand A,Brand A,1,Denmark,University of Copenhagen
Branzan D,Branzan D,1,Germany,Max Planck Institute of Biochemistry
Braun C,Braun C,1,Germany,Max Planck Institute of Biochemistry
Brown LA,Brown LA,1,United States,National Cancer Institute
Brunner AD,Brunner AD,2,Germany,Max Planck Institute of Biochemistry
Bulkescher J,Bulkescher J,1,Denmark,University of Copenhagen
Bzorek M,Bzorek M,3,Denmark,Zealand University Hospital
Bérouti M,Bérouti M,1,Germany,Gene Center and Department of Biochemistry
Caffrey TC,Caffrey TC,1,Denmark,University of Nebraska Medical Center
Casals AM,Casals AM,1,Germany,Max Planck Institute of Biochemistry
Chakrabarti S,Chakrabarti S,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Chazotte M,Chazotte M,1,Germany,University Hospital Heidelberg and Heidelberg University
Chen J,Chen J,1,Germany,ISAS
Clement DL,Clement DL,1,Denmark,University of Copenhagen
Coscia F,Coscia F,11,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Csikos D,Csikos D,1,Denmark,Eötvös Loránd Research Network
Debnath A,Debnath A,1,Germany,Max Planck Institute of Biochemistry
Dechend R,Dechend R,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Detlefsen S,Detlefsen S,1,Denmark,University of Southern Denmark
Diedrich L,Diedrich L,1,Germany,Max Planck Institute of Biochemistry
Donle L,Donle L,1,United States,The University of Chicago
Dorka N,Dorka N,1,Germany,Max Planck Institute of Biochemistry
Dragomir MP,Dragomir MP,1,Germany,Institute of Pathology
Drici L,Drici L,1,Denmark,University of Copenhagen
Dummer R,Dummer R,1,Germany,Max Planck Institute of Biochemistry
Duteil C,Duteil C,1,Germany,Max Planck Institute of Biochemistry
Dyring-Andersen B,Dyring-Andersen B,1,Denmark,University of Copenhagen
Eckert MA,Eckert MA,1,United States,University of Chicago
Engel DR,Engel DR,1,Germany,University Hospital Essen
Fabián O,Fabián O,1,Czech Republic,Institute for Clinical and Experimental Medicine
Fan R,Fan R,1,Unknown,Yale University
Feldmeyer L,Feldmeyer L,1,Switzerland,University of Bern
Fincham REA,Fincham REA,1,Singapore,Singapore General Hospital (SGH)
Florian S,Florian S,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Forstner D,Forstner D,1,Germany,Gottfried Schatz Research Center
Fraňková S,Fraňková S,1,Czech Republic,Institute for Clinical and Experimental Medicine
French LE,French LE,1,Germany,Ludwig Maximilian University (LMU) Munich
Frey N,Frey N,1,Germany,University Hospital Heidelberg
Fritzsche S,Fritzsche S,5,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Fromme M,Fromme M,1,Germany,University Hospital RWTH
Fuseya S,Fuseya S,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST)
Gasparello T,Gasparello T,1,United Kingdom,University of Edinburgh
Gauster M,Gauster M,1,Germany,Gottfried Schatz Research Center
Gil J,Gil J,1,Sweden,Lund University
Gjerdrum LMR,Gjerdrum LMR,1,Denmark,Aarhus University
Glukha N,Glukha N,1,Germany,Max Planck Institute of Biochemistry
Gnann C,Gnann C,1,Sweden,KTH - Royal Institute of Technology
Goh D,Goh D,1,Singapore,Institute of Molecular and Cell Biology (IMCB)
Gong T,Gong T,1,China,The First Affiliated Hospital of Fujian Medical University
Gote-Schniering J,Gote-Schniering J,1,Germany,Helmholtz Munich; Member of the German Center for Lung Research (DZL)
Grandgenett PM,Grandgenett PM,1,Denmark,University of Nebraska Medical Center
Grexa I,Grexa I,1,Denmark,Eötvös Loránd Research Network
Gross A,Gross A,1,Germany,Max Planck Institute of Biochemistry
Guedes J,Guedes J,1,Sweden,Lund University
Habermann D,Habermann D,1,Germany,University Hospital Essen
Haider S,Haider S,1,Germany,Department of Obstetrics and Gynaecology
Hapek N,Hapek N,1,Denmark,Eötvös Loránd Research Network
Hartlmayr D,Hartlmayr D,1,France,Cellenion SASU
Hartmann N,Hartmann N,1,Germany,University Hospital Heidelberg
Harz H,Harz H,1,Germany,Ludwig-Maximilians-Universität München
Hasegawa A,Hasegawa A,1,Japan,Niigata University Graduate School of Medical and Dental Sciences
Hausmann A,Hausmann A,1,Switzerland,University of Copenhagen
Hayat S,Hayat S,1,Germany,Max Planck Institute of Biochemistry
Heide J,Heide J,1,United States,The University of Chicago
Heine C,Heine C,1,Germany,University Hospital Heidelberg
Henneberg L,Henneberg L,1,Germany,Max Planck Institute of Biochemistry
Hernandez JM,Hernandez JM,1,United States,National Cancer Institute
Hernández SD,Hernández SD,1,Denmark,Resolute Bio
Herse F,Herse F,2,Germany,Institute of Pathology
Heymann T,Heymann T,3,Germany,Max Planck Institute of Biochemistry
Hindson J,Hindson J,1,Unknown,Unknown
Hollandi R,Hollandi R,2,Denmark,Eötvös Loránd Research Network
Hollingsworth MA,Hollingsworth MA,1,Denmark,University of Nebraska Medical Center
Hornburg D,Hornburg D,1,United States,Billerica
Hornung V,Hornung V,1,Germany,Gene Center and Department of Biochemistry
Horvath P,Horvath P,4,Germany,HUN-REN
Horvatovich P,Horvatovich P,1,Netherlands,University of Groningen
Huber A,Huber A,1,Germany,Max Planck Institute of Biochemistry
Ibarra-Arellano MA,Ibarra-Arellano MA,1,Germany,University Hospital Heidelberg and Heidelberg University
Ingen-Housz-Oro S,Ingen-Housz-Oro S,1,France,Henri Mondor Hospital
Itang EC,Itang EC,1,Germany,Max Planck Institute of Biochemistry
Iván ZZ,Iván ZZ,1,Denmark,Eötvös Loránd Research Network
Jensen KB,Jensen KB,1,Denmark,University of Copenhagen
Jez G,Jez G,2,Denmark,University of Copenhagen
Ji C,Ji C,1,China,The First Affiliated Hospital of Fujian Medical University
Jiang Y,Jiang Y,1,China,Jiangnan University
Joerg L,Joerg L,1,Switzerland,University of Bern
Johansson F,Johansson F,1,Germany,Max Planck Institute of Biochemistry
Kabatnik S,Kabatnik S,3,Denmark,University of Copenhagen
Kainacher L,Kainacher L,1,Germany,Max Planck Institute of Biochemistry
Kaptás F,Kaptás F,1,Denmark,Eötvös Loránd Research Network
Kelliher L,Kelliher L,1,United States,The University of Chicago
Kenny HA,Kenny HA,1,United States,The University of Chicago
Kim B,Kim B,1,Denmark,New York University Grossman School of Medicine
Kimura H,Kimura H,1,Japan,Niigata University Graduate School of Medical and Dental Sciences
Kjærgaard J,Kjærgaard J,1,Germany,Max Planck Institute of Biochemistry
Klauschen F,Klauschen F,2,Germany,Max Planck Institute of Biochemistry
Kleiner DE,Kleiner DE,1,United States,National Cancer Institute
Klingeberg M,Klingeberg M,2,Germany,Institute of Pathology
Klute KA,Klute KA,1,Denmark,University of Nebraska Medical Center
Kokai D,Kokai D,1,Denmark,Eötvös Loránd Research Network
Koos K,Koos K,1,Denmark,Eötvös Loránd Research Network
Kovacs F,Kovacs F,2,Germany,Max Planck Institute of Biochemistry
Kovács F,Kovács F,1,Denmark,Eötvös Loránd Research Network
Krag A,Krag A,1,Denmark,Centre for Liver Research
Kratz E,Kratz E,2,Germany,Max Planck Institute of Biochemistry
Krishnan R,Krishnan R,1,United States,The University of Chicago
Krisp C,Krisp C,1,Germany,MDC-Bruker Center of Excellence for Single Cell Omics
Kriston A,Kriston A,2,Denmark,Eötvös Loránd Research Network
Kuno A,Kuno A,1,Japan,National Institute of Advanced Industrial Science and Technology (AIST)
Kurnit KC,Kurnit KC,1,United States,The University of Chicago
König J,König J,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Larsen HL,Larsen HL,1,Denmark,University of Copenhagen
Lastra RR,Lastra RR,1,United States,The University of Chicago
Lavine KJ,Lavine KJ,1,United States,Washington University School of Medicine
Lebedev M,Lebedev M,1,Germany,Max Planck Institute of Biochemistry
Lengyel E,Lengyel E,3,United States,The University of Chicago
Leonhardt H,Leonhardt H,1,Germany,Ludwig-Maximilians-Universität München
Leuschner F,Leuschner F,1,Germany,University Hospital Heidelberg
Levesque MP,Levesque MP,3,Switzerland,University of Zurich
Lewin GR,Lewin GR,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Li Y,Li Y,1,United States,The University of Chicago
Lindberg EL,Lindberg EL,1,Germany,Max Planck Institute of Biochemistry
Lindskog C,Lindskog C,1,Germany,Max Planck Institute of Biochemistry
Liu L,Liu L,1,China,Jiangnan University
Lukas C,Lukas C,1,Denmark,University of Copenhagen
Lundberg E,Lundberg E,4,Sweden,KTH - Royal Institute of Technology
Luo W,Luo W,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Lõhmussaar K,Lõhmussaar K,1,Denmark,University of Copenhagen
MacDonald PE,MacDonald PE,1,Germany,Max Planck Institute of Biochemistry
Madden K,Madden K,1,Germany,Max Planck Institute of Biochemistry
Madden KG,Madden KG,1,Germany,Max Planck Institute of Biochemistry
Madsen GI,Madsen GI,1,Denmark,Odense University Hospital
Maegdefessel L,Maegdefessel L,1,Germany,Max Planck Institute of Biochemistry
Mahdessian D,Mahdessian D,1,Denmark,Eötvös Loránd Research Network
Maimets M,Maimets M,1,Denmark,University of Copenhagen
Maitra A,Maitra A,1,Denmark,New York University Grossman School of Medicine
Makhmut A,Makhmut A,4,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Malm J,Malm J,1,Sweden,Lund University
Manczinger M,Manczinger M,1,Denmark,Eötvös Loránd Research Network
Manickavel P,Manickavel P,1,Canada,Western University
Mann M,Mann M,22,Germany,Max Planck Institute of Biochemistry
Mann SP,Mann SP,1,Denmark,University of Copenhagen
Manning Fox JE,Manning Fox JE,1,Germany,Max Planck Institute of Biochemistry
Mardamshina M,Mardamshina M,1,Germany,Max Planck Institute of Biochemistry
Marko-Varga G,Marko-Varga G,1,Japan,Tokyo Medical University
Mendoza R,Mendoza R,1,United States,The University of Chicago
Metousis A,Metousis A,10,Germany,Max Planck Institute of Biochemistry
Miczán V,Miczán V,1,Denmark,Eötvös Loránd Research Network
Migh E,Migh E,2,Denmark,Eötvös Loránd Research Network
Min J,Min J,1,Denmark,New York University Grossman School of Medicine
Miranda L,Miranda L,1,Germany,Max Planck Institute of Biochemistry
Moebs M,Moebs M,1,Germany,Institute of Pathology
Mohammadi A,Mohammadi A,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Moreira J,Moreira J,1,Denmark,University of Copenhagen
Moshkov N,Moshkov N,1,Denmark,Eötvös Loránd Research Network
Mund A,Mund A,12,Denmark,University of Copenhagen
Murray PJ,Murray PJ,2,Germany,Max Planck Institute of Biochemistry
Mädler SC,Mädler SC,3,Germany,Max Planck Institute of Biochemistry
Müller DN,Müller DN,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Müller-Reif JB,Müller-Reif JB,1,Germany,Max Planck Institute of Biochemistry
Naimy S,Naimy S,1,Denmark,Zealand University Hospital
Navarro FB,Navarro FB,1,Germany,Max Planck Institute of Biochemistry
Nguyen HH,Nguyen HH,1,Japan,Niigata University Graduate School of Medical and Dental Sciences
Nielsen OH,Nielsen OH,1,Denmark,University of Copenhagen
Nimo J,Nimo J,4,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Ning X,Ning X,1,China,Jiangnan University
Nonn O,Nonn O,1,Germany,Experimental and Clinical Research Center
Nordbeck M,Nordbeck M,1,Germany,University Hospital Heidelberg and Heidelberg University
Nordmann TM,Nordmann TM,7,Germany,Max Planck Institute of Biochemistry
Novak A,Novak A,1,Germany,University Hospital Essen
Németh IB,Németh IB,1,Sweden,University of Szeged
Obermayr E,Obermayr E,1,Germany,Max Planck Institute of Biochemistry
Oeller M,Oeller M,3,Germany,Max Planck Institute of Biochemistry
Oldenburg L,Oldenburg L,1,Denmark,Resolute Bio
Oliinyk D,Oliinyk D,2,Germany,Max Planck Institute of Biochemistry
Padula MP,Padula MP,1,Australia,University of Technology Sydney
Pal C,Pal C,1,Denmark,Eötvös Loránd Research Network
Paloschi V,Paloschi V,1,Germany,Max Planck Institute of Biochemistry
Pappas G,Pappas G,1,Denmark,University of Copenhagen
Pauli J,Pauli J,1,Germany,Max Planck Institute of Biochemistry
Pawłowski K,Pawłowski K,1,United States,University of Texas Southwestern Medical Center
Pearson M,Pearson M,1,United Kingdom,University of Edinburgh
Pedersen LM,Pedersen LM,1,Denmark,Aarhus University
Pellizzoni P,Pellizzoni P,1,Germany,Max Planck Institute of Biochemistry
Pentimalli T,Pentimalli T,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Periasamy P,Periasamy P,1,Singapore,Institute of Molecular and Cell Biology (IMCB)
Pignitter M,Pignitter M,1,Germany,Department of Physiological Chemistry
Porat-Shliom N,Porat-Shliom N,1,United States,National Cancer Institute
Post F,Post F,3,Denmark,University of Copenhagen
Qian Z,Qian Z,1,China,Nanjing Medical University
Qin D,Qin D,2,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Rahbek-Gjerdrum LM,Rahbek-Gjerdrum LM,2,Denmark,Zealand University Hospital
Rajewsky N,Rajewsky N,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Rauch S,Rauch S,1,United States,The University of Chicago
Remmert K,Remmert K,1,United States,National Cancer Institute
Ressler M,Ressler M,1,Germany,Institute of Biomedical Science
Restivo G,Restivo G,1,Switzerland,University of Zurich
Richter S,Richter S,2,Germany,Technical University of Munich
Rodriguez E,Rodriguez E,3,Germany,Max Planck Institute of Biochemistry
Rodriguez EH,Rodriguez EH,2,Germany,Department of Proteomics and Signal Transduction; Max Planck Institute of Biochemistry
Rosenberger F,Rosenberger F,1,Germany,Max Planck Institute of Biochemistry
Rosenberger FA,Rosenberger FA,11,Sweden,Karolinska Institutet
Rossini S,Rossini S,1,Germany,Max Planck Institute of Biochemistry
Sachs N,Sachs N,1,Germany,Max Planck Institute of Biochemistry
Saez-Rodriguez J,Saez-Rodriguez J,1,Germany,University Hospital Heidelberg and Heidelberg University
Saito Y,Saito Y,1,Japan,Niigata University Graduate School of Medical and Dental Sciences
Santos A,Santos A,1,Denmark,University of Copenhagen
Sato T,Sato T,1,Japan,Keio University School of Medicine
Satoh TK,Satoh TK,1,Germany,Ludwig Maximilian University (LMU) Munich
Schallenberg S,Schallenberg S,3,Germany,Institute of Pathology
Schanda S,Schanda S,1,Germany,Max Planck Institute of Biochemistry
Schapiro D,Schapiro D,1,Germany,University Hospital Heidelberg and Heidelberg University
Schiller HB,Schiller HB,1,Germany,Helmholtz Munich; Member of the German Center for Lung Research (DZL)
Schmacke NA,Schmacke NA,2,Germany,Max Planck Institute of Biochemistry
Schmitt WD,Schmitt WD,1,Germany,Institute of Pathology
Schoffer K,Schoffer K,1,Australia,Walter and Eliza Hall Institute of Medical Research
Schunkert H,Schunkert H,1,Germany,Max Planck Institute of Biochemistry
Schweizer L,Schweizer L,8,Denmark,Resolute Bio
Selvanesan BC,Selvanesan BC,1,Denmark,The University of Texas MD Anderson Cancer Center
Semenova A,Semenova A,1,Germany,Helmholtz Munich; Member of the German Center for Lung Research (DZL)
Seth A,Seth A,1,France,Cellenion SASU
Shen C,Shen C,1,Australia,Walter and Eliza Hall Institute of Medical Research
Shevchuk O,Shevchuk O,1,Germany,University Hospital Essen
Shimizu A,Shimizu A,1,United States,The University of Chicago
