PMID,Keyword,Source
42440036,image registration,Author Keyword
42440036,Open-source Software,Author Keyword
42440036,laser capture microdissection,Author Keyword
42440036,Spatial Biology,Author Keyword
42440036,Deep Visual Proteomics,Author Keyword
42381461,Humans,MeSH Term
42381461,Pancreatic Neoplasms,MeSH Term
42381461,Proteomics,MeSH Term
42427344,Mass spectrometry,Author Keyword
42427344,Laser Microdissection,Author Keyword
42427344,Ffpe Tissue,Author Keyword
42427344,Spatial Proteomics,Author Keyword
42427344,Single‐cell Proteomics,Author Keyword
42427344,Deep Visual Proteomics,Author Keyword
42638396,Mitochondria,Author Keyword
42638396,Diagnostics,Author Keyword
42638396,Rare Diseases,Author Keyword
42638396,Spatial Proteomics,Author Keyword
42638396,Single‐cell Proteomics,Author Keyword
42638396,Omics Ethics,Author Keyword
42638396,Humans,MeSH Term
42638396,Mitochondrial Diseases,MeSH Term
42638396,Rare Diseases,MeSH Term
42638396,Proteomics,MeSH Term
42638396,Genomics,MeSH Term
42638396,Mass Spectrometry,MeSH Term
42638396,Metabolomics,MeSH Term
42638396,Single-Cell Analysis,MeSH Term
42638396,Multiomics,MeSH Term
40934911,Colon,Author Keyword
40934911,Mass spectrometry,Author Keyword
40934911,Proteomics,Author Keyword
40934911,Organoids,Author Keyword
40934911,Ibd,Author Keyword
40934911,Spatial Proteomics,Author Keyword
40934911,Intestinal Mucosa,MeSH Term
40934911,Colon,MeSH Term
40934911,Organoids,MeSH Term
40934911,Epithelial Cells,MeSH Term
40934911,Animals,MeSH Term
40934911,Humans,MeSH Term
40934911,Inflammatory Bowel Diseases,MeSH Term
40934911,Proteome,MeSH Term
40934911,"Transplantation, Heterologous",MeSH Term
40934911,Proteomics,MeSH Term
40934911,Phenotype,MeSH Term
41629712,Laser Microdissection,Author Keyword
41629712,Immunofluorescence Staining,Author Keyword
41629712,Tissue Proteomics,Author Keyword
41629712,Deep Visual Proteomics,Author Keyword
41629712,Animals,MeSH Term
41629712,Humans,MeSH Term
41629712,Proteome,MeSH Term
41629712,Fluorescent Antibody Technique,MeSH Term
41629712,Tissue Fixation,MeSH Term
41629712,Proteomics,MeSH Term
41629712,Laser Capture Microdissection,MeSH Term
41629712,Liquid Chromatography-Mass Spectrometry,MeSH Term
42013410,Humans,MeSH Term
42013410,"Carcinoma, Pancreatic Ductal",MeSH Term
42013410,Pancreatic Neoplasms,MeSH Term
42013410,Proteomics,MeSH Term
42013410,Metabolic Reprogramming,MeSH Term
42013410,Intelligent Systems,MeSH Term
41629719,Artificial intelligence,Author Keyword
41629719,Formalin-fixed Paraffin-embedded,Author Keyword
41629719,laser capture microdissection,Author Keyword
41629719,Hematoxylin And Eosin,Author Keyword
41629719,Mass Spectrometry-based Proteomics,Author Keyword
41629719,Spatial Proteomics,Author Keyword
41629719,Deep Visual Proteomics,Author Keyword
41629719,Humans,MeSH Term
41629719,Staining and Labeling,MeSH Term
41629719,Paraffin Embedding,MeSH Term
41629719,Tissue Fixation,MeSH Term
41629719,Proteomics,MeSH Term
41629719,Artificial Intelligence,MeSH Term
41629719,Mass Spectrometry,MeSH Term
41629719,Workflow,MeSH Term
41629719,Laser Capture Microdissection,MeSH Term
41629719,Intelligent Systems,MeSH Term
40680990,Melanoma,Author Keyword
40680990,Proteomics,Author Keyword
40680990,AI,Author Keyword
40680990,Tumor Microenvironment,Author Keyword
40680990,Machine Learning,Author Keyword
40680990,laser capture microdissection,Author Keyword
40680990,Digital Pathology,Author Keyword
40680990,Cancer Biomarkers,Author Keyword
40680990,Patient Stratification,Author Keyword
40680990,Spatial Proteomics,Author Keyword
40680990,Deep Visual Proteomics,Author Keyword
40680990,Humans,MeSH Term
40680990,Neoplasms,MeSH Term
40680990,Melanoma,MeSH Term
40680990,Proteomics,MeSH Term
40680990,Artificial Intelligence,MeSH Term
40680990,Tumor Microenvironment,MeSH Term
40680990,"Biomarkers, Tumor",MeSH Term
40680990,Precision Medicine,MeSH Term
41965357,"Ganglia, Spinal",MeSH Term
41965357,Nociceptors,MeSH Term
41965357,Animals,MeSH Term
41965357,"Mice, Inbred C57BL",MeSH Term
41965357,Mice,MeSH Term
41965357,Pain,MeSH Term
41965357,Protein Kinase C,MeSH Term
41965357,Nerve Growth Factor,MeSH Term
41965357,Proteome,MeSH Term
41965357,Proteomics,MeSH Term
41965357,Male,MeSH Term
41965357,Sensory Receptor Cells,MeSH Term
41965357,Transcriptome,MeSH Term
39814024,Cancer,Author Keyword
39814024,Mass spectrometry,Author Keyword
39814024,Immunotherapy,Author Keyword
39814024,Tumor Microenvironment,Author Keyword
39814024,Multiplexed Imaging,Author Keyword
39814024,Tumor-infiltrating Lymphocytes,Author Keyword
39814024,Spatial Proteomics,Author Keyword
39814024,Deep Visual Proteomics,Author Keyword
39814024,Spatial Medicine,Author Keyword
39814024,"T-Lymphocytes, Cytotoxic",MeSH Term
39814024,"Lymphocytes, Tumor-Infiltrating",MeSH Term
39814024,Macrophages,MeSH Term
39814024,Humans,MeSH Term
39814024,Colorectal Neoplasms,MeSH Term
39814024,Immunotherapy,MeSH Term
39814024,Proteomics,MeSH Term
39814024,Single-Cell Analysis,MeSH Term
39814024,Tumor Microenvironment,MeSH Term
39814024,Laser Capture Microdissection,MeSH Term
41655216,AI,Author Keyword
41655216,Tumor Microenvironment,Author Keyword
41655216,Dark Proteome,Author Keyword
41655216,Spatial Proteogenomics,Author Keyword
41655216,Deep Visual Proteomics,Author Keyword
41655216,Humans,MeSH Term
41655216,Neoplasms,MeSH Term
41655216,Proteomics,MeSH Term
41655216,Metabolomics,MeSH Term
41655216,Tumor Microenvironment,MeSH Term
41655216,Proteogenomics,MeSH Term
41655216,Multiomics,MeSH Term
41655216,Spatial Transcriptomics,MeSH Term
40578359,Pathology,Author Keyword
40578359,Mass spectrometry,Author Keyword
40578359,Proteomics,Author Keyword
40578359,Ovarian cancer,Author Keyword
40578359,Metastasis,Author Keyword
40578359,Transcriptomics,Author Keyword
40578359,Borderline Tumor,Author Keyword
40578359,Low-grade Serous Cancer,Author Keyword
40578359,Deep Visual Proteomics,Author Keyword
40578359,"Cell Line, Tumor",MeSH Term
40578359,Animals,MeSH Term
40578359,Humans,MeSH Term
40578359,Mice,MeSH Term
40578359,"Cystadenocarcinoma, Serous",MeSH Term
40578359,Ovarian Neoplasms,MeSH Term
40578359,Neoplasm Invasiveness,MeSH Term
40578359,Disease Progression,MeSH Term
40578359,Gene Expression Profiling,MeSH Term
40578359,Proteomics,MeSH Term
40578359,"Gene Expression Regulation, Neoplastic",MeSH Term
40578359,Female,MeSH Term
40578359,Tumor Microenvironment,MeSH Term
40578359,Transcriptome,MeSH Term
40578359,"Carcinoma, Ovarian Epithelial",MeSH Term
40240610,Liver,MeSH Term
40240610,Hepatocytes,MeSH Term
40240610,Humans,MeSH Term
40240610,Liver Cirrhosis,MeSH Term
40240610,alpha 1-Antitrypsin Deficiency,MeSH Term
40240610,Disease Progression,MeSH Term
40240610,alpha 1-Antitrypsin,MeSH Term
40240610,Proteome,MeSH Term
40240610,Proteomics,MeSH Term
40240610,Phenotype,MeSH Term
40240610,Female,MeSH Term
40240610,Male,MeSH Term
40240610,Unfolded Protein Response,MeSH Term
40240610,Single-Cell Analysis,MeSH Term
40240610,Machine Learning,MeSH Term
40027887,Artificial intelligence,Author Keyword
40027887,Automated analysis,Author Keyword
40027887,glycomics,Author Keyword
40027887,glycoproteomics,Author Keyword
40027887,Lectin Microarray,Author Keyword
40027887,Imaging Mass Cytometry,Author Keyword
40027887,Spatial Omics,Author Keyword
41721135,Liver,MeSH Term
41721135,Hepatocytes,MeSH Term
41721135,Animals,MeSH Term
41721135,Humans,MeSH Term
41721135,Mice,MeSH Term
41721135,Proteome,MeSH Term
